word	opus_rank	hsk_level	pos	lccc_rank	is_foreign_name	is_foreign_score3	tier	dialog_priority
期待	1413	HSK4	动	426	0	0	B_core	4
火车	1414	HSK1	名	1091	0	0	B_core	4
号码	1415	HSK4	名	2551	0	0	B_core	4
健康	1416	HSK2	形、名	934	0	0	B_core	4
全世界	1417	HSK5		2174	0	0	B_core_extra_HSK	4
机器	1418	HSK3	名	3501	0	0	B_core	4
五	1419	HSK1	数	2228	0	0	B_core	4
彼此	1420	HSK5	代	2730	0	0	B_core_extra_HSK	4
移动	1421	HSK4	动	2813	0	0	B_core	4
教授	1422	HSK4	名	4506	0	0	B_core	4
跟踪	1423	HSK7-9	动	12867	0	0	B_core_extra_HSK	4
喝一杯	1424			6999	0	0	B_core_extra_HSK	4
碰到	1425	HSK2		1476	0	0	B_core	4
输	1426	HSK3	动	1215	0	0	B_core	4
重复	1427	HSK2	动	3823	0	0	B_core	4
嫁给	1428			2775	0	0	B_core_extra_HSK	4
所谓	1429	HSK7-9	形	2423	0	0	B_core_extra_HSK	4
大声	1430	HSK2		3042	0	0	B_core	4
秒	1431	HSK5	量	1028	0	0	B_core_extra_HSK	4
今年	1432	HSK1	名	395	0	0	B_core	4
大哥	1433	HSK4	名	632	0	0	B_core	4
失踪	1434	HSK7-9		6013	0	0	B_core_extra_HSK	4
由于	1435	HSK3	介、连	6441	0	0	B_core	4
自	1436	HSK4	介	2628	0	0	B_core	4
勇敢	1437	HSK4	形	2509	0	0	B_core	4
主要	1438	HSK2	形	452	0	0	B_core	4
咬	1439	HSK5	动	803	0	0	B_core_extra_HSK	4
第二	1440			2208	0	0	B_core_extra_HSK	4
天堂	1441	HSK6	名	4189	0	0	B_core_extra_HSK	4
汽车	1442	HSK1	名	3662	0	0	B_core	4
喝点	1443			1742	0	0	B_core_extra_HSK	4
把手	1444	HSK7-9	名	7159	0	0	B_core_extra_HSK	4
厨房	1445	HSK5	名	3560	0	0	B_core_extra_HSK	4
小时候	1446	HSK2	名	860	0	0	B_core	4
测试	1447	HSK4	动、名	4120	0	0	B_core	4
等到	1448	HSK2	介	1053	0	0	B_core	4
似的	1449	HSK4	助	1445	0	0	B_core	4
报纸	1450	HSK2	名	7211	0	0	B_core	4
快去	1451			2435	0	0	B_core_extra_HSK	4
鱼	1452	HSK2	名	1127	0	0	B_core	4
比如	1453	HSK2	动	1251	0	0	B_core	4
激动	1454	HSK4	形、动	755	0	0	B_core	4
酒店	1455	HSK2	名	1188	0	0	B_core	4
奶奶	1456	HSK1	名	1472	0	0	B_core	4
踢	1457	HSK6	动	2180	0	0	B_core_extra_HSK	4
骄傲	1458	HSK6	形、名	1767	0	0	B_core_extra_HSK	4
价值	1459	HSK3	名	4362	0	0	B_core	4
累	1460	HSK1	形	428	0	0	B_core	4
之中	1461	HSK5	名	8409	0	0	B_core_extra_HSK	4
从来不	1462	HSK7-9		1682	0	0	B_core_extra_HSK	4
怪物	1463	HSK7-9	名	9762	0	0	B_core_extra_HSK	4
作	1464	HSK6	动	2237	0	0	B_core_extra_HSK	4
公寓	1465	HSK7-9	名	6237	0	0	B_core_extra_HSK	4
在乎	1466	HSK4	动	2700	0	0	B_core	4
恢复	1467	HSK5	动	1898	0	0	B_core_extra_HSK	4
好笑	1468	HSK7-9	形	2782	0	0	B_core_extra_HSK	4
查	1469	HSK2	动	1802	0	0	B_core	4
恐怖	1470	HSK7-9	形	1277	0	0	B_core_extra_HSK	4
做些	1471			9553	0	0	B_core_extra_HSK	4
带上	1472			1228	0	0	B_core_extra_HSK	4
教堂	1473	HSK6	名	11585	0	0	B_core_extra_HSK	4
玩意	1474			2681	0	0	B_core_extra_HSK	4
说实话	1475	HSK6		1493	0	0	B_core_extra_HSK	4
大约	1476	HSK3	副	6386	0	0	B_core	4
车子	1477			3982	0	0	B_core_extra_HSK	4
洗	1478	HSK1	动	707	0	0	B_core	4
一辆	1479			5229	0	0	B_core_extra_HSK	4
正式	1480	HSK3	形	2711	0	0	B_core	4
人来	1481			4177	0	0	B_core_extra_HSK	4
爬	1482	HSK2	动	1175	0	0	B_core	4
退后	1483			29759	0	0	B_core_extra_HSK	4
电脑	1484	HSK1	名	728	0	0	B_core	4
凶手	1485	HSK6	名	12371	0	0	B_core_extra_HSK	4
受不了	1486	HSK4	动	1140	0	0	B_core	4
复杂	1487	HSK3	形	2109	0	0	B_core	4
美元	1488	HSK3	名		0	0	B_core	4
乔治	1489				1	0	X_excluded_foreign	4
抽	1490	HSK4	动		0	0	B_core	4
何时	1491	HSK7-9		3044	0	0	B_core_extra_HSK	4
后悔	1492	HSK5	动	828	0	0	B_core_extra_HSK	4
搞砸	1493			33508	0	0	B_core_extra_HSK	4
关闭	1494	HSK4	动	7381	0	0	B_core	4
不像	1495			1759	0	0	B_core_extra_HSK	4
执行	1496	HSK5	动		0	0	B_core_extra_HSK	4
之类	1497	HSK6	名	1693	0	0	B_core_extra_HSK	4
人民	1498	HSK3	名		0	0	B_core	4
两次	1499			1269	0	0	B_core_extra_HSK	4
士兵	1500	HSK4	名	18602	0	0	B_core	4
提到	1501	HSK2		4976	0	0	C_expansion	5
专家	1502	HSK3	名	6571	0	0	C_expansion	5
取消	1503	HSK3	动	2202	0	0	C_expansion	5
作品	1504	HSK3	名	2252	0	0	C_expansion	5
做爱	1505				0	0	C_expansion_extra_HSK	5
谈论	1506	HSK7-9	动	19402	0	0	C_expansion_extra_HSK	5
巴黎	1507			4546	0	1	C_expansion_extra_HSK	5
急	1508	HSK2	形	981	0	0	C_expansion	5
气	1509	HSK2	动、名	1056	0	0	C_expansion	5
时代	1510	HSK3	名	1948	0	0	C_expansion	5
好运	1511	HSK5	名	2033	0	0	C_expansion_extra_HSK	5
分开	1512	HSK2		1964	0	0	C_expansion	5
去世	1513	HSK3	动	6394	0	0	C_expansion	5
状态	1514	HSK3	名	1023	0	0	C_expansion	5
车上	1515	HSK1		2047	0	0	C_expansion	5
犯	1516	HSK6	动	4275	0	0	C_expansion_extra_HSK	5
甜心	1517			11162	0	0	C_expansion_extra_HSK	5
尽量	1518	HSK3	副	1595	0	0	C_expansion	5
冒险	1519	HSK7-9		12542	0	0	C_expansion_extra_HSK	5
尽力	1520	HSK4		3469	0	0	C_expansion	5
满意	1521	HSK2	动	2069	0	0	C_expansion	5
年纪	1522	HSK3	名	1110	0	0	C_expansion	5
不可思议	1523	HSK7-9		9086	0	0	C_expansion_extra_HSK	5
老公	1524	HSK4	名	539	0	0	C_expansion	5
超级	1525	HSK3	形	420	0	0	C_expansion	5
别碰	1526			28608	0	0	C_expansion_extra_HSK	5
伦敦	1527			5910	0	0	C_expansion_extra_HSK	5
想过	1528			5056	0	0	C_expansion_extra_HSK	5
想着	1529			1072	0	0	C_expansion_extra_HSK	5
两位	1530			7600	0	0	C_expansion_extra_HSK	5
人员	1531	HSK3	名	6351	0	0	C_expansion	5
懂吗	1532			4931	0	0	C_expansion_extra_HSK	5
冲	1533	HSK6	介、动	2010	0	0	C_expansion_extra_HSK	5
满足	1534	HSK3	动	1309	0	0	C_expansion	5
睡着	1535	HSK4		739	0	0	C_expansion	5
妳	1536			2104	0	0	C_expansion_extra_HSK	5
即将	1537	HSK4	副	3640	0	0	C_expansion	5
伤	1538	HSK3	动、名	1807	0	0	C_expansion	5
地点	1539	HSK1	名	3283	0	0	C_expansion	5
黑体	1540			91952	0	0	C_expansion_extra_HSK	5
现实	1541	HSK3	名	1089	0	0	C_expansion	5
非	1542	HSK4	副	1808	0	0	C_expansion	5
乱	1543	HSK3	形	1219	0	0	C_expansion	5
巨大	1544	HSK4	形	6753	0	0	C_expansion	5
怀孕	1545	HSK7-9			0	0	C_expansion_extra_HSK	5
死定了	1546				0	0	C_expansion_extra_HSK	5
嘘	1547			3124	0	0	C_expansion_extra_HSK	5
做事	1548			4341	0	0	C_expansion_extra_HSK	5
报警	1549	HSK5		2822	0	0	C_expansion_extra_HSK	5
那位	1550			2883	0	0	C_expansion_extra_HSK	5
特殊	1551	HSK4	形	3416	0	0	C_expansion	5
尽	1552	HSK7-9	动、副	3930	0	0	C_expansion_extra_HSK	5
条件	1553	HSK2	名	2039	0	0	C_expansion	5
要死	1554				0	0	C_expansion_extra_HSK	5
谈话	1555	HSK3		12332	0	0	C_expansion	5
我用	1556			1467	0	0	C_expansion_extra_HSK	5
痛	1557	HSK7-9	副	1061	0	0	C_expansion_extra_HSK	5
无关	1558	HSK6	动	3620	0	0	C_expansion_extra_HSK	5
愿	1559	HSK5	动	1541	0	0	C_expansion_extra_HSK	5
天才	1560	HSK5	名	4073	0	0	C_expansion_extra_HSK	5
穿过	1561	HSK7-9	动	4445	0	0	C_expansion_extra_HSK	5
有用	1562	HSK1	动	2187	0	0	C_expansion	5
距离	1563	HSK4	动、名	1860	0	0	C_expansion	5
速度	1564	HSK3	名	1292	0	0	C_expansion	5
公主	1565	HSK6	名	1974	0	0	C_expansion_extra_HSK	5
单独	1566	HSK4	副	3261	0	0	C_expansion	5
夜晚	1567	HSK7-9	名	4427	0	0	C_expansion_extra_HSK	5
全是	1568			1171	0	0	C_expansion_extra_HSK	5
显示	1569	HSK3	动	1934	0	0	C_expansion	5
地址	1570	HSK4	名	1149	0	0	C_expansion	5
中间	1571	HSK1	名	1489	0	0	C_expansion	5
难以置信	1572	HSK7-9		19068	0	0	C_expansion_extra_HSK	5
介意	1573	HSK7-9		4561	0	0	C_expansion_extra_HSK	5
德国	1574			2663	0	0	C_expansion_extra_HSK	5
耍	1575	HSK7-9	动	565	0	0	C_expansion_extra_HSK	5
帽子	1576	HSK4	名	1647	0	0	C_expansion	5
这份	1577			5839	0	0	C_expansion_extra_HSK	5
鸟	1578	HSK2	名	1300	0	0	C_expansion	5
邪恶	1579	HSK7-9	形	3491	0	0	C_expansion_extra_HSK	5
顺便	1580	HSK7-9	副	1015	0	0	C_expansion_extra_HSK	5
放手	1581			4889	0	0	C_expansion_extra_HSK	5
娶	1582	HSK7-9	动	1606	0	0	C_expansion_extra_HSK	5
手指	1583	HSK3	名	3536	0	0	C_expansion	5
犯罪	1584	HSK6			0	0	C_expansion_extra_HSK	5
队长	1585	HSK2	名	4856	0	0	C_expansion	5
站住	1586	HSK2		21455	0	0	C_expansion	5
烧	1587	HSK4	动	1926	0	0	C_expansion	5
