rank	freq	smoothed_avg_freq	log10_rank	log10_avg_freq	d_logf_d_logr
1643	883	879.448	3.2156	2.9442	-1.9617
1725	796	797.212	3.2368	2.9016	-2.0157
1811	717	723.559	3.2579	2.8595	-1.9925
1901	656	655.357	3.2790	2.8165	-2.0412
1996	596	595.618	3.3002	2.7750	-1.9600
2095	540	539.287	3.3212	2.7318	-2.0524
2199	486	484.624	3.3422	2.6854	-2.2059
2308	433	434.098	3.3632	2.6376	-2.2759
2423	383	387.927	3.3844	2.5887	-2.3126
2544	346	348.497	3.4055	2.5422	-2.1996
2671	314	314.804	3.4267	2.4980	-2.0872
2804	286	284.800	3.4478	2.4545	-2.0612
2944	258	257.117	3.4689	2.4101	-2.0988
3091	232	230.558	3.4901	2.3628	-2.2376
3245	205	206.665	3.5112	2.3153	-2.2502
3407	185	185.461	3.5324	2.2683	-2.2221
3577	166	166.572	3.5535	2.2216	-2.2061
3755	150	150.148	3.5746	2.1765	-2.1375
3942	136	135.214	3.5957	2.1310	-2.1556
4139	122	121.579	3.6169	2.0849	-2.1796
4345	109	109.333	3.6380	2.0388	-2.1857
4562	98	98.247	3.6592	1.9923	-2.1939
4790	88	88.452	3.6803	1.9467	-2.1534
5029	80	79.605	3.7015	1.9009	-2.1644
5280	72	71.389	3.7226	1.8536	-2.2366
5544	64	63.866	3.7438	1.8053	-2.2822
5821	57	56.936	3.7650	1.7554	-2.3557
6112	51	50.612	3.7862	1.7043	-2.4136
6417	45	44.925	3.8073	1.6525	-2.4478
6737	39	39.770	3.8285	1.5996	-2.5045
7073	35	35.263	3.8496	1.5473	-2.4716
7426	31	31.273	3.8708	1.4952	-2.4655
7797	28	27.781	3.8919	1.4437	-2.4285
8186	25	24.663	3.9131	1.3920	-2.4452
8595	22	21.795	3.9342	1.3384	-2.5359
9024	19	19.272	3.9554	1.2849	-2.5256
9475	17	16.992	3.9766	1.2303	-2.5815
9948	15	14.981	3.9977	1.1755	-2.5866
10445	13	13.242	4.0189	1.1220	-2.5302
10967	12	11.658	4.0401	1.0666	-2.6133
11515	10	10.291	4.0613	1.0125	-2.5562
12090	9	9.073	4.0824	0.9577	-2.5867
12694	8	7.978	4.1036	0.9019	-2.6383
13328	7	7.033	4.1248	0.8471	-2.5872
13994	6	6.151	4.1459	0.7889	-2.7477
14693	5	5.359	4.1671	0.7290	-2.8289
15427	5	4.728	4.1883	0.6747	-2.5675
16198	4	4.082	4.2095	0.6109	-3.0140
17007	4	3.578	4.2306	0.5536	-2.7053
17857	3	3.189	4.2518	0.5036	-2.3585
18749	3	2.679	4.2730	0.4280	-3.5716
19686	2	2.391	4.2942	0.3786	-2.3318
20670	2	2.146	4.3153	0.3317	-2.2178
21703	2	1.861	4.3365	0.2697	-2.9233
22788	2	1.593	4.3577	0.2023	-3.1820
23927	1	1.339	4.3789	0.1266	-3.5731
25123	1	1.096	4.4001	0.0397	-4.1052
26379	1	1.000	4.4213	0.0000	-1.8731
27697	1	1.000	4.4424	0.0000	0.0000
29081	1	1.000	4.4636	0.0000	0.0000
30535	1	0.960	4.4848	-0.0178	-0.8396
32061	1	0.688	4.5060	-0.1627	-6.8427
33664	0	0.428	4.5272	-0.3684	-9.7086
35347	0	0.181	4.5484	-0.7422	-17.6402
37114	0	0.000	4.5695	0.0000	35.0324
38969	0	0.000	4.5907	0.0000	0.0000
40917	0	0.000	4.6119	0.0000	0.0000
42962	0	0.000	4.6331	0.0000	0.0000
45110	0	0.000	4.6543	0.0000	0.0000
47365	0	0.000	4.6755	0.0000	0.0000
49733	0	0.000	4.6966	0.0000	0.0000
52219	0	0.000	4.7178	0.0000	0.0000
54829	0	0.000	4.7390	0.0000	0.0000
57570	0	0.000	4.7602	0.0000	0.0000
60448	0	0.000	4.7814	0.0000	0.0000
63470	0	0.000	4.8026	0.0000	0.0000
66643	0	0.000	4.8238	0.0000	0.0000
69975	0	0.000	4.8449	0.0000	0.0000
73473	0	0.000	4.8661	0.0000	0.0000
77146	0	0.000	4.8873	0.0000	0.0000
81003	0	0.000	4.9085	0.0000	0.0000
85053	0	0.000	4.9297	0.0000	0.0000
89305	0	0.000	4.9509	0.0000	0.0000
93770	0	0.000	4.9721	0.0000	0.0000
98458	0	0.000	4.9933	0.0000	0.0000
103380	0	0.000	5.0144	0.0000	0.0000
108549	0	0.000	5.0356	0.0000	0.0000
113976	0	0.000	5.0568	0.0000	0.0000
119674	0	0.000	5.0780	0.0000	0.0000
125657	0	0.000	5.0992	0.0000	0.0000
131939	0	0.000	5.1204	0.0000	0.0000
138535	0	0.000	5.1416	0.0000	0.0000
145461	0	0.000	5.1627	0.0000	0.0000
152734	0	0.000	5.1839	0.0000	0.0000
