rank,word,frequency,cum_pct
1,的,0.0617,6.17
2,是,0.0148,7.6499999999999995
3,在,0.0145,9.1
4,了,0.0138,10.48
5,我,0.00891,11.371
6,和,0.00724,12.095
7,有,0.00676,12.770999999999999
8,不,0.00575,13.346
9,人,0.0055,13.896
10,也,0.00501,14.396999999999998
11,你,0.00501,14.897999999999998
12,为,0.0049,15.387999999999996
13,他,0.00479,15.866999999999996
14,这,0.00479,16.345999999999993
15,中,0.00447,16.792999999999996
16,与,0.00437,17.229999999999997
17,年,0.00437,17.666999999999998
18,对,0.00427,18.093999999999998
19,就,0.00398,18.491999999999997
20,都,0.00389,18.880999999999997
21,一个,0.00363,19.243999999999996
22,上,0.00355,19.598999999999997
23,说,0.00355,19.953999999999997
24,吗,0.00339,20.292999999999996
25,我们,0.00339,20.631999999999998
26,会,0.00302,20.933999999999997
27,到,0.00302,21.235999999999997
28,要,0.00288,21.523999999999997
29,来,0.00282,21.805999999999994
30,中国,0.00275,22.080999999999996
31,月,0.00275,22.355999999999995
32,被,0.00263,22.618999999999996
33,他们,0.00251,22.869999999999997
34,没有,0.0024,23.109999999999996
35,还,0.0024,23.349999999999998
36,而,0.00229,23.578999999999997
37,个,0.00224,23.802999999999997
38,可以,0.00219,24.021999999999995
39,后,0.00214,24.235999999999997
40,等,0.00214,24.449999999999996
41,但,0.00209,24.659
42,于,0.00204,24.862999999999996
43,什么,0.002,25.062999999999995
44,日,0.002,25.262999999999998
45,这个,0.002,25.462999999999997
46,将,0.00195,25.657999999999998
47,并,0.00195,25.852999999999998
48,能,0.00195,26.048
49,一,0.00186,26.233999999999995
50,很,0.00186,26.419999999999995
51,让,0.00182,26.601999999999993
52,从,0.00178,26.779999999999994
53,国家,0.00178,26.95799999999999
54,以,0.00174,27.131999999999994
55,好,0.00174,27.305999999999997
56,大,0.0017,27.475999999999996
57,她,0.0017,27.645999999999994
58,着,0.00166,27.81199999999999
59,多,0.00162,27.973999999999993
60,自己,0.00158,28.131999999999994
61,问题,0.00155,28.286999999999995
62,时,0.00151,28.437999999999995
63,给,0.00151,28.589
64,把,0.00148,28.736999999999995
65,去,0.00145,28.881999999999998
66,看,0.00145,29.026999999999997
67,又,0.00138,29.164999999999996
68,美国,0.00138,29.302999999999997
69,或,0.00132,29.434999999999995
70,因为,0.00129,29.563999999999997
71,下,0.00126,29.689999999999994
72,不是,0.00126,29.815999999999992
73,之,0.00126,29.94199999999999
74,现在,0.00126,30.06799999999999
75,过,0.00126,30.19399999999999
76,新,0.00123,30.31699999999999
77,里,0.00123,30.43999999999999
78,做,0.0012,30.559999999999988
79,及,0.0012,30.679999999999986
80,地,0.0012,30.799999999999983
81,由,0.0012,30.91999999999998
82,3,0.00117,31.03699999999998
83,怎么,0.00117,31.153999999999982
84,没,0.00117,31.270999999999983
85,用,0.00117,31.387999999999984
86,就是,0.00115,31.502999999999982
87,已经,0.00115,31.61799999999998
88,更,0.00115,31.73299999999998
89,这些,0.00112,31.844999999999978
90,1,0.0011,31.954999999999977
91,得,0.0011,32.064999999999976
92,所,0.0011,32.174999999999976
93,发展,0.00107,32.281999999999975
94,开始,0.00107,32.38899999999998
95,想,0.00107,32.49599999999998
96,最,0.00107,32.60299999999998
97,这样,0.00107,32.70999999999999
98,公司,0.00105,32.81499999999998
99,它,0.00105,32.91999999999998
100,政府,0.00105,33.024999999999984
101,可能,0.00102,33.12699999999998
102,那,0.00102,33.228999999999985
103,2,0.001,33.328999999999986
104,工作,0.000977,33.42669999999999
105,社会,0.000977,33.524399999999986
106,三,0.000955,33.61989999999999
107,可,0.000955,33.71539999999998
108,吧,0.000955,33.81089999999998
109,如果,0.000933,33.90419999999998
110,知道,0.000933,33.99749999999999
111,进行,0.000933,34.09079999999999
112,世界,0.000912,34.18199999999999
113,其,0.000912,34.273199999999996
114,日本,0.000912,34.364399999999996
115,该,0.000912,34.4556
116,5,0.000891,34.54469999999999
117,不能,0.000871,34.6318
118,只,0.000871,34.7189
119,向,0.000871,34.806
120,计划,0.000871,34.8931
121,前,0.000851,34.9782
122,成为,0.000851,35.0633
123,时间,0.000851,35.148399999999995
124,认为,0.000851,35.23349999999999
125,需要,0.000851,35.318599999999996
126,出,0.000832,35.401799999999994
127,啊,0.000832,35.48499999999999
128,已,0.000832,35.5682
129,再,0.000776,35.645799999999994
130,国际,0.000776,35.72339999999999
131,地区,0.000776,35.800999999999995
132,小,0.000776,35.87859999999999
133,当,0.000776,35.956199999999995
134,时候,0.000776,36.03379999999999
135,们,0.000759,36.1097
136,内,0.000759,36.185599999999994
137,却,0.000759,36.2615
138,使用,0.000741,36.33559999999999
139,才,0.000741,36.409699999999994
140,经济,0.000741,36.483799999999995
141,活动,0.000724,36.5562
142,爱,0.000724,36.62859999999999
143,但是,0.000708,36.69939999999999
144,历史,0.000708,36.77019999999999
145,应该,0.000708,36.840999999999994
146,政治,0.000708,36.91179999999999
147,第,0.000708,36.98259999999999
148,谁,0.000708,37.05339999999999
149,4,0.000692,37.12259999999999
150,不会,0.000692,37.19179999999999
151,以及,0.000692,37.260999999999996
152,情况,0.000692,37.3302
153,真的,0.000692,37.3994
154,组织,0.000692,37.4686
155,8,0.000676,37.5362
156,人民,0.000676,37.60380000000001
157,其他,0.000676,37.671400000000006
158,发生,0.000676,37.739000000000004
159,主要,0.000661,37.80510000000001
160,号,0.000661,37.87120000000001
161,地方,0.000661,37.937300000000015
162,网站,0.000661,38.00340000000001
163,香港,0.000661,38.06950000000002
164,生活,0.000646,38.13410000000002
165,这种,0.000646,38.19870000000002
166,你们,0.000631,38.261800000000015
167,通过,0.000631,38.324900000000014
168,为了,0.000617,38.38660000000001
169,事,0.000617,38.44830000000001
170,同时,0.000617,38.510000000000005
171,必须,0.000617,38.5717
172,快,0.000617,38.6334
173,所以,0.000603,38.6937
174,所有,0.000603,38.754000000000005
175,比,0.000603,38.81430000000001
176,跟,0.000603,38.87460000000001
177,包括,0.000589,38.93350000000001
178,发现,0.000589,38.99240000000001
179,请,0.000589,39.05130000000001
180,还有,0.000589,39.11020000000001
181,长,0.000589,39.169100000000014
182,一些,0.000575,39.22660000000001
183,为什么,0.000575,39.28410000000001
184,全国,0.000575,39.34160000000001
185,决定,0.000575,39.39910000000001
186,出现,0.000575,39.45660000000001
187,呢,0.000575,39.514100000000006
188,如何,0.000575,39.571600000000004
189,还是,0.000575,39.62910000000001
190,a,0.000562,39.685300000000005
191,一样,0.000562,39.74150000000001
192,企业,0.000562,39.797700000000006
193,其中,0.000562,39.85390000000001
194,北京,0.000562,39.91010000000001
195,觉得,0.000562,39.96630000000001
196,重要,0.000562,40.02250000000001
197,高,0.000562,40.07870000000001
198,6,0.00055,40.13370000000001
199,影响,0.00055,40.18870000000001
200,the,0.000537,40.24240000000001
201,则,0.000537,40.29610000000001
202,喜欢,0.000537,40.349800000000016
203,文化,0.000537,40.403500000000015
204,起来,0.000537,40.457200000000014
205,不过,0.000525,40.50970000000002
206,作为,0.000525,40.56220000000002
207,学生,0.000525,40.61470000000001
208,希望,0.000525,40.667200000000015
209,技术,0.000525,40.71970000000002
210,提供,0.000525,40.77220000000001
211,至,0.000525,40.824700000000014
212,要求,0.000525,40.877200000000016
213,那么,0.000525,40.92970000000001
214,钱,0.000525,40.98220000000001
215,7,0.000513,41.03350000000001
216,一定,0.000513,41.08480000000001
217,不同,0.000513,41.136100000000006
218,电影,0.000513,41.18740000000001
219,万,0.000501,41.237500000000004
220,不要,0.000501,41.287600000000005
221,使,0.000501,41.3377
222,像,0.000501,41.3878
223,点,0.000501,41.43789999999999
224,关系,0.00049,41.48689999999999
225,只是,0.00049,41.53589999999999
226,听,0.00049,41.58489999999999
227,研究,0.00049,41.63389999999999
228,这么,0.00049,41.68289999999999
229,出来,0.000479,41.73079999999999
230,根据,0.000479,41.77869999999999
231,此,0.000479,41.82659999999999
232,系统,0.000479,41.87449999999999
233,起,0.000479,41.922399999999996
234,两,0.000468,41.969199999999994
235,任何,0.000468,42.016
236,只有,0.000468,42.0628
237,服务,0.000468,42.1096
238,结果,0.000468,42.156400000000005
239,自,0.000468,42.20320000000001
240,这里,0.000468,42.25000000000001
241,一起,0.000457,42.29570000000001
