rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
138	应	102125	102124	603	84.1542	HSK2
139	发	101807	101807	1680	84.2714	HSK2
140	爱	100466	100462	2294	84.3871	HSK1
141	女	98951	98951	1502	84.5010	HSK1
142	方	98425	98425	1377	84.6144	HSK1
143	帮	94329	93321	1046	84.7230	HSK1
144	干	93089	93085	1322	84.8302	HSK1
145	次	91888	91885	811	84.9360	HSK1
146	错	91288	91268	649	85.0411	HSK1
147	吃	91223	91223	874	85.1461	HSK1
148	行	90723	90433	2756	85.2506	HSK1
149	哦	88885	88883	17	85.3529	HSK7-9
150	情	88796	88796	1364	85.4552	HSK2
151	拿	88272	88272	1482	85.5568	HSK1
152	中	87256	87256	3572	85.6573	HSK1
153	作	86913	86913	1982	85.7573	HSK1
154	间	86291	86291	777	85.8567	HSK1
155	认	86076	86076	338	85.9558	HSK1
156	直	85623	85622	834	86.0544	HSK2
157	之	82165	82165	4615	86.1490	HSK4
158	面	79847	79813	2305	86.2409	HSK1
159	信	78837	78750	1296	86.3317	HSK2
160	何	78382	78378	938	86.4220	HSK3
161	题	78047	78047	240	86.5118	HSK2
162	友	77412	77412	586	86.6010	HSK1
163	始	76337	76337	378	86.6889	HSK3
164	正	76231	76227	1931	86.7766	HSK1
165	朋	75834	75834	208	86.8640	HSK1
166	望	73015	73015	483	86.9480	HSK3
167	相	71828	71826	1273	87.0307	HSK2
168	工	70997	70997	1384	87.1125	HSK1
169	更	69350	69350	737	87.1923	HSK2
170	白	68540	68501	1992	87.2712	HSK1
171	种	68190	68172	604	87.3498	HSK3
172	希	68188	68188	1288	87.4283	HSK3
173	晚	67370	67370	524	87.5058	HSK1
174	成	67333	67333	3136	87.5834	HSK2
175	离	66563	66563	852	87.6600	HSK2
176	带	66347	66347	1597	87.7364	HSK2
177	常	63604	62962	1560	87.8096	HSK1
178	感	63123	63123	828	87.8823	HSK2
179	思	63046	63046	1154	87.9549	HSK2
180	呀	62193	62190	233	88.0265	HSK4
181	将	61953	61953	522	88.0979	HSK3
182	比	61497	61495	3431	88.1687	HSK1
183	进	61485	61482	1628	88.2395	HSK1
184	放	61367	61367	2236	88.3101	HSK1
185	年	60851	60848	1544	88.3802	HSK1
186	啦	60350	60343	160	88.4497	HSK6
187	法	60120	60120	2630	88.5189	HSK2
188	全	59837	59810	2000	88.5878	HSK2
189	住	57383	57383	1098	88.6539	HSK1
190	亲	57371	57330	541	88.7199	HSK3
191	准	57089	57089	537	88.7857	HSK1
192	许	56691	56690	421	88.8509	HSK2
193	非	56202	56201	932	88.9157	HSK1
194	切	56128	56128	916	88.9803	HSK3
195	钱	56032	56032	768	89.0448	HSK1
196	必	55509	55509	587	89.1087	HSK2
197	嘛	55247	55247	512	89.1723	HSK6
198	杀	55078	55077	734	89.2357	HSK5
199	完	54981	54968	991	89.2990	HSK2
200	其	54103	54102	1123	89.3613	HSK2
201	或	54056	54053	670	89.4236	HSK2
202	您	52848	52848	80	89.4844	HSK1
203	备	52659	52659	350	89.5451	HSK1
204	记	52356	52356	642	89.6054	HSK1
205	关	52265	52265	966	89.6655	HSK1
206	任	52136	52136	735	89.7256	HSK3
207	嗯	51490	51490	1	89.7848	
