229	男	42954	HSK1
230	伙	42718	HSK4
231	新	42403	HSK1
232	与	41889	HSK4
233	变	41368	HSK2
234	向	41309	HSK2
235	手	40936	HSK1
236	每	40228	HSK3
237	马	39418	HSK1
238	识	39312	HSK1
239	本	39099	HSK1
240	安	39000	HSK2
241	玩	38620	HSK1
242	世	38568	HSK3
243	兴	38277	HSK1
244	且	37795	HSK2
245	国	37284	HSK1
246	担	37228	HSK4
247	坐	37129	HSK1
248	保	36931	HSK3
249	车	36814	HSK1
250	机	36778	HSK1
251	喂	36566	HSK2
252	确	36496	HSK2
253	无	36232	HSK4
254	算	36144	HSK2
255	美	36040	HSK3
256	接	35827	HSK2
257	跑	35299	HSK1
258	界	35006	HSK3
259	系	34804	HSK1
260	续	34512	HSK3
261	受	34489	HSK2
262	底	34447	HSK3
263	够	34401	HSK2
264	动	33889	HSK1
265	继	33699	HSK3
266	身	33402	HSK1
267	位	33384	HSK2
268	远	33176	HSK1
269	同	33154	HSK1
270	怕	32841	HSK2
271	谈	32566	HSK3
272	害	32282	HSK3
273	件	32219	HSK2
274	计	31977	HSK2
275	姐	31508	HSK1
276	总	31169	HSK3
277	父	30873	HSK3
278	早	30761	HSK1
279	房	29989	HSK1
280	管	29148	HSK3
281	决	29087	HSK3
282	肯	28698	HSK5
283	嗨	28588	
284	却	28344	HSK4
285	买	28231	HSK1
286	警	27904	HSK3
287	送	27733	HSK1
288	此	27547	HSK3
289	几	27458	HSK1
290	医	27368	HSK1
291	喝	27269	HSK1
292	理	27049	HSK2
293	永	26841	HSK2
294	笑	26571	HSK1
295	月	26290	HSK1
296	至	25900	HSK3
297	失	25814	HSK3
298	长	25787	HSK2
299	学	25669	HSK1
300	外	25438	HSK1
301	加	25437	HSK2
302	难	25223	HSK1
303	忙	25212	HSK1
304	命	25121	HSK3
305	由	24766	HSK2
306	者	24672	HSK2
307	留	24553	HSK2
308	睡	24544	HSK1
309	公	24452	HSK2
310	分	24386	HSK1
311	噢	24334	
312	求	24291	HSK2
313	蛋	24133	HSK1
314	第	24100	HSK1
315	力	23845	HSK2
316	搞	23770	HSK5
317	穿	23694	HSK1
318	疯	23608	HSK5
319	原	23543	HSK2
320	证	23371	HSK3
321	拜	23285	HSK5
322	写	23278	HSK1
323	清	23204	HSK2
324	处	22606	HSK2
325	根	22578	HSK3
326	服	22532	HSK1
327	照	22359	HSK2
328	束	21936	HSK3
329	况	21866	HSK3
330	帝	21862	HSK6
331	忘	21790	HSK1
332	停	21675	HSK2
333	号	21594	HSK1
334	站	21458	HSK1
335	抓	21325	HSK3
336	近	21235	HSK2
337	头	21071	HSK2
338	弟	20736	HSK1
339	亮	20707	HSK2
340	楚	20635	HSK2
341	救	20484	HSK3
342	托	20377	HSK5
343	烦	20076	HSK3
344	漂	20001	HSK2
345	察	19961	HSK3
346	懂	19936	HSK2
347	愿	19923	HSK2
348	试	19650	HSK1
349	特	19615	HSK2
350	三	19573	HSK1
351	部	19230	HSK2
352	麻	19219	HSK3
353	兄	18938	HSK4
354	使	18601	HSK2
355	混	18354	HSK6
356	怪	18347	HSK3
357	否	18219	HSK3
358	息	18185	HSK1
359	弄	17961	HSK2
360	连	17801	HSK3
361	久	17764	HSK2
362	答	17597	HSK1
363	曾	17514	HSK3
364	音	17411	HSK2
365	另	17410	HSK3
366	枪	17281	HSK5
367	注	16978	HSK3
368	待	16936	HSK3
369	宝	16903	HSK4
370	母	16901	HSK3
371	绝	16711	HSK3
372	掉	16661	HSK2
373	通	16544	HSK2
374	伤	16478	HSK3
375	表	16435	HSK2
376	持	16431	HSK3
377	助	16405	HSK2
378	简	16286	HSK3
379	日	16268	HSK1
380	整	16259	HSK3
381	声	16096	HSK2
382	气	16073	HSK1
383	划	15991	HSK2
384	体	15951	HSK1
385	物	15917	HSK2
386	讲	15859	HSK2
387	唯	15677	HSK5
388	贝	15531	HSK4
389	改	15487	HSK2
390	主	15428	HSK2
391	入	15422	HSK2
392	选	15374	HSK2
393	乐	15332	HSK2
394	消	15238	HSK3
395	士	15219	HSK4
396	路	15174	HSK1
397	场	15167	HSK1
398	夫	15031	HSK3
399	约	15019	HSK3
400	门	15010	HSK1
401	静	14849	HSK2
402	婚	14779	HSK3
403	奇	14743	HSK3
404	嘴	14580	HSK2
405	衣	14479	HSK1
406	收	14306	HSK2
407	除	14245	HSK3
408	险	14160	HSK3
409	眼	13937	HSK2
410	闭	13772	HSK4
411	棒	13754	HSK5
412	查	13737	HSK2
413	张	13724	HSK3
414	故	13611	HSK2
415	官	13588	HSK4
416	甚	13518	HSK4
417	便	13510	HSK2
418	护	13403	HSK2
419	单	13388	HSK2
420	迎	13379	HSK2
421	哥	13138	HSK1
422	虽	13012	HSK2
423	止	12806	HSK3
424	酒	12767	HSK2
425	目	12723	HSK2
426	倒	12640	HSK2
427	乎	12555	HSK4
428	讨	12483	HSK2
429	择	12455	HSK4
430	司	12430	HSK2
431	危	12280	HSK3
432	易	11976	HSK3
433	各	11857	HSK3
434	终	11839	HSK3
435	功	11768	HSK3
436	趣	11743	HSK4
437	跳	11726	HSK3
438	报	11708	HSK2
439	内	11702	HSK3
440	靠	11633	HSK2
441	幸	11631	HSK3
442	随	11600	HSK2
443	昨	11549	HSK1
444	轻	11517	HSK2
445	运	11513	HSK2
446	影	11400	HSK1
447	片	11397	HSK2
448	反	11328	HSK3
449	参	11292	HSK2
450	交	11263	HSK2
451	条	11202	HSK1
452	紧	11172	HSK3
453	提	11170	HSK2
454	克	11163	HSK2
455	合	11125	HSK2
456	教	10962	HSK1
457	岁	10936	HSK1
458	容	10887	HSK3
459	顾	10854	HSK2
460	利	10799	HSK2
461	校	10771	HSK1
462	冷	10752	HSK1
463	制	10629	HSK3
464	睛	10585	HSK2
