target_pct	rank_to_reach	cum_score	actual_pct
50	23	43647930	50.2572
80	108	69519637	80.0465
90	211	78178774	90.0168
95	362	82517018	95.0119
98	641	85116393	98.0049
99	895	85982283	99.0019
99.5	1182	86414870	99.5000
99.8	1601	86675671	99.8003
99.9	1944	86762340	99.9001
99.99	3215	86840438	99.9900
