target_pct	rank_to_reach	cum_score	actual_pct
50	23	40288410	50.4418
80	107	63984703	80.1101
90	205	71897478	90.0170
95	345	75881839	95.0055
98	600	78276183	98.0033
99	824	79072367	99.0001
99.5	1072	79471649	99.5000
99.8	1425	79711596	99.8004
99.9	1692	79791309	99.9002
99.99	2648	79863031	99.9900
