rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
139	帮	109355	108179	1098	84.4862	HSK1
140	太	108429	101170	3045	84.6053	HSK1
141	干	107260	107255	1253	84.7232	HSK1
142	错	104867	104844	674	84.8385	HSK1
143	今	102206	102206	256	84.9508	HSK1
144	女	100151	100151	1215	85.0608	HSK1
145	间	99875	99875	808	85.1706	HSK1
146	方	98634	98634	1026	85.2790	HSK1
147	认	98560	98560	351	85.3873	HSK1
148	次	94138	94135	614	85.4908	HSK1
149	行	93778	93488	1917	85.5939	HSK1
150	情	91629	91629	974	85.6946	HSK2
151	吃	90808	90808	660	85.7944	HSK1
152	题	90021	90021	252	85.8933	HSK2
153	哦	88926	88924	7	85.9910	HSK7-9
154	拿	88904	88904	1085	86.0887	HSK1
155	中	88439	88439	2579	86.1859	HSK1
156	作	87881	87881	1338	86.2825	HSK1
157	始	86764	86764	154	86.3779	HSK3
158	直	86282	86280	661	86.4727	HSK2
159	面	84880	84841	1311	86.5660	HSK1
160	之	84317	84317	3349	86.6586	HSK4
161	种	79548	79526	675	86.7461	HSK3
162	何	79122	79118	685	86.8330	HSK3
163	信	78990	78903	1040	86.9198	HSK2
164	友	77392	77392	484	87.0049	HSK1
165	正	77002	76998	1460	87.0895	HSK1
166	离	76199	76199	867	87.1732	HSK2
167	带	75985	75985	1681	87.2568	HSK2
168	朋	75793	75793	187	87.3401	HSK1
169	望	73040	73040	375	87.4203	HSK3
170	成	72161	72161	2248	87.4996	HSK2
171	相	72085	72083	989	87.5789	HSK2
172	将	71338	71338	541	87.6573	HSK3
173	进	71257	71253	1677	87.7356	HSK1
174	工	70897	70897	1043	87.8135	HSK1
175	更	69608	69608	511	87.8900	HSK2
176	感	68754	68754	565	87.9655	HSK2
177	白	68618	68579	1639	88.0410	HSK1
178	希	68139	68139	1080	88.1158	HSK3
179	晚	67366	67366	426	88.1899	HSK1
180	法	66024	66024	1828	88.2624	HSK2
181	准	65653	65653	489	88.3346	HSK1
182	亲	65572	65524	600	88.4067	HSK3
183	钱	65386	65386	790	88.4785	HSK1
184	许	64320	64319	455	88.5492	HSK2
185	常	63802	63160	1176	88.6193	HSK1
186	杀	63385	63384	757	88.6890	HSK5
187	放	63094	63094	1531	88.7583	HSK1
188	思	63064	63064	989	88.8276	HSK2
189	比	62723	62721	2561	88.8966	HSK1
190	呀	62299	62296	139	88.9650	HSK4
191	备	61153	61153	357	89.0323	HSK1
192	必	61085	61085	443	89.0994	HSK2
193	关	60558	60558	992	89.1659	HSK1
194	记	60547	60547	662	89.2325	HSK1
195	啦	60326	60318	106	89.2988	HSK6
196	年	60264	60261	1245	89.3650	HSK1
197	全	59813	59786	1542	89.4307	HSK2
198	住	57417	57417	919	89.4938	HSK1
199	电	57414	57414	1123	89.5569	HSK1
200	其	56594	56593	829	89.6191	HSK2
201	嘛	56513	56513	408	89.6813	HSK6
202	两	56196	56196	1298	89.7430	HSK1
203	切	55985	55985	756	89.8045	HSK3
204	非	55796	55795	755	89.8659	HSK1
205	或	54625	54622	541	89.9259	HSK2
206	完	54611	54597	765	89.9859	HSK2
207	办	53823	53823	449	90.0451	HSK2
208	任	53100	53100	502	90.1034	HSK3
209	您	52494	52494	31	90.1611	HSK1
210	须	52153	52153	183	90.2184	HSK2
211	嗯	51490	51490	1	90.2750	
212	实	51373	51338	671	90.3315	HSK2
213	抱	50758	50689	198	90.3873	HSK4
214	老	50625	50611	1961	90.4429	HSK1
215	歉	50401	50401	39	90.4983	HSK6
216	刚	49494	38626	888	90.5527	HSK2
217	嘿	49442	49342	242	90.6070	HSK7-9
218	边	48665	48665	807	90.6605	HSK1
219	活	48462	48449	991	90.7138	HSK2
220	于	48085	48085	1237	90.7666	HSK2
221	少	47807	47806	945	90.8192	HSK1
222	并	47733	47733	225	90.8716	HSK3
223	名	47530	47530	1221	90.9239	HSK1
224	高	45135	45119	2150	90.9735	HSK1
225	重	44883	44869	1125	91.0228	HSK1
226	字	44326	44326	725	91.0715	HSK1
227	解	44239	44239	552	91.1201	HSK3
228	结	43894	43894	618	91.1684	HSK2
229	男	42954	42954	475	91.2156	HSK1
230	伙	42718	42718	131	91.2625	HSK4
231	新	42403	42402	1560	91.3091	HSK1
232	与	41889	41889	258	91.3552	HSK4
233	变	41368	41368	981	91.4006	HSK2
234	向	41309	41309	907	91.4460	HSK2
235	手	40936	40933	1842	91.4910	HSK1
236	每	40228	40222	435	91.5352	HSK3
237	马	39418	39415	3448	91.5785	HSK1
238	识	39312	39312	313	91.6217	HSK1
239	本	39099	39099	1504	91.6647	HSK1
240	安	39000	38996	2738	91.7076	HSK2
241	玩	38620	38343	773	91.7500	HSK1
242	世	38568	38567	750	91.7924	HSK3
243	兴	38277	38276	343	91.8345	HSK1
