229	于	40784	HSK2
230	解	40513	HSK3
231	手	40481	HSK1
232	世	38919	HSK3
233	安	38531	HSK2
234	玩	38040	HSK1
235	结	37903	HSK2
236	每	37846	HSK3
237	本	37821	HSK1
238	伙	37435	HSK4
239	且	37379	HSK2
240	坐	37119	HSK1
241	与	36680	HSK4
242	喂	36279	HSK2
243	算	36000	HSK2
244	变	35725	HSK2
245	跑	35666	HSK1
246	界	35432	HSK3
247	接	35237	HSK2
248	底	34410	HSK3
249	受	34026	HSK2
250	识	34014	HSK1
251	马	33958	HSK1
252	們	33919	
253	保	33883	HSK3
254	美	33710	HSK3
255	兴	33434	HSK1
256	怕	32860	HSK2
257	担	32435	HSK4
258	同	32337	HSK1
259	位	32297	HSK2
260	国	32121	HSK1
261	车	31954	HSK1
262	机	31751	HSK1
263	确	31681	HSK2
264	身	31619	HSK1
265	姐	31608	HSK1
266	无	31141	HSK4
267	件	30609	HSK2
268	早	30556	HSK1
269	害	30376	HSK3
270	续	30000	HSK3
271	系	29840	HSK1
272	够	29481	HSK2
273	管	29480	HSK3
274	继	29314	HSK3
275	动	29115	HSK1
276	远	28794	HSK1
277	肯	28676	HSK5
278	嗨	28597	
279	谈	28429	HSK3
280	此	28334	HSK3
281	房	28083	HSK1
282	父	28067	HSK3
283	计	27750	HSK2
284	警	27650	HSK3
285	送	27513	HSK1
286	月	27347	HSK1
287	总	27048	HSK3
288	喝	26983	HSK1
289	笑	26398	HSK1
290	這	26146	
291	理	25994	HSK2
292	至	25831	HSK3
293	外	25416	HSK1
294	失	25173	HSK3
295	命	25076	HSK3
296	决	25065	HSK3
297	由	24936	HSK2
298	第	24750	HSK1
299	留	24745	HSK2
300	却	24582	HSK4
301	者	24432	HSK2
302	噢	24333	
303	蛋	24162	HSK1
304	搞	24153	HSK5
305	加	24149	HSK2
306	求	24102	HSK2
307	公	24048	HSK2
308	买	24045	HSK1
309	忙	23906	HSK1
310	睡	23857	HSK1
311	医	23716	HSK1
312	几	23712	HSK1
313	永	23627	HSK2
314	穿	23578	HSK1
315	力	23405	HSK2
316	分	23335	HSK1
317	清	23259	HSK2
318	麼	22446	
319	服	22434	HSK1
320	根	22258	HSK3
321	学	22124	HSK1
322	原	22090	HSK2
323	长	22089	HSK2
324	帝	21970	HSK6
325	难	21791	HSK1
326	站	21790	HSK1
327	停	21507	HSK2
328	拜	21483	HSK5
329	忘	21478	HSK1
330	抓	21297	HSK3
331	近	21231	HSK2
332	照	20944	HSK2
333	疯	20874	HSK5
334	弟	20843	HSK1
335	亮	20730	HSK2
336	楚	20713	HSK2
337	懂	20535	HSK2
338	救	20466	HSK3
339	写	20238	HSK1
340	证	20232	HSK3
341	漂	20034	HSK2
342	察	19857	HSK3
343	处	19575	HSK2
344	束	19495	HSK3
345	兄	19042	HSK4
346	况	18871	HSK3
347	部	18769	HSK2
348	使	18643	HSK2
349	三	18632	HSK1
350	号	18621	HSK1
351	弄	18472	HSK2
352	怪	18388	HSK3
353	個	18379	
354	息	18362	HSK1
355	久	18286	HSK2
356	混	18262	HSK6
357	头	18140	HSK2
358	來	18102	
359	特	17886	HSK2
360	另	17673	HSK3
361	愿	17568	HSK2
362	否	17483	HSK3
363	掉	17421	HSK2
364	烦	17360	HSK3
365	托	17288	HSK5
366	嗎	17121	
367	麻	16960	HSK3
368	待	16950	HSK3
369	试	16950	HSK1
370	注	16875	HSK3
371	曾	16851	HSK3
372	日	16659	HSK1
373	答	16577	HSK1
374	表	15916	HSK2
375	持	15846	HSK3
376	母	15680	HSK3
377	通	15611	HSK2
378	唯	15583	HSK5
379	音	15439	HSK2
380	主	15435	HSK2
381	消	15361	HSK3
382	士	15336	HSK4
383	路	15290	HSK1
384	连	15269	HSK3
385	枪	15204	HSK5
386	夫	15023	HSK3
387	宝	15002	HSK4
388	物	14989	HSK2
389	整	14772	HSK3
390	衣	14707	HSK1
391	助	14613	HSK2
392	奇	14605	HSK3
393	绝	14487	HSK3
394	伤	14411	HSK3
395	入	14400	HSK2
396	除	14319	HSK3
397	收	14296	HSK2
398	简	14159	HSK3
399	眼	14141	HSK2
400	說	14093	
401	体	14058	HSK1
402	声	13961	HSK2
403	气	13843	HSK1
404	贝	13835	HSK4
405	改	13814	HSK2
406	划	13785	HSK2
407	棒	13730	HSK5
408	故	13718	HSK2
409	嘴	13536	HSK2
410	甚	13476	HSK4
411	讲	13463	HSK2
412	乐	13422	HSK2
413	选	13317	HSK2
414	婚	13087	HSK3
415	沒	13028	
416	哥	13004	HSK1
417	场	13000	HSK1
418	约	12985	HSK3
419	倒	12929	HSK2
420	门	12904	HSK1
421	静	12885	HSK2
422	酒	12740	HSK2
423	官	12720	HSK4
424	便	12693	HSK2
425	止	12672	HSK3
426	司	12602	HSK2
427	查	12554	HSK2
428	险	12220	HSK3
429	會	12173	
430	闭	12143	HSK4
431	乎	12119	HSK4
432	目	11973	HSK2
433	易	11955	HSK3
434	跳	11892	HSK3
435	迎	11878	HSK2
436	张	11866	HSK3
437	功	11768	HSK3
438	各	11724	HSK3
439	靠	11616	HSK2
440	单	11577	HSK2
441	昨	11555	HSK1
442	护	11480	HSK2
443	片	11376	HSK2
444	趣	11261	HSK4
445	提	11113	HSK2
446	虽	11019	HSK2
447	幸	10915	HSK3
448	反	10901	HSK3
449	睛	10859	HSK2
450	择	10850	HSK4
451	危	10812	HSK3
452	容	10803	HSK3
453	克	10796	HSK2
454	讨	10743	HSK2
455	教	10739	HSK1
456	為	10651	
457	交	10414	HSK2
458	神	10408	HSK3
459	合	10363	HSK2
460	敢	10299	HSK3
461	制	10292	HSK3
462	利	10247	HSK2
463	内	10085	HSK3
464	令	10083	HSK5
465	喔	10082	
466	影	10081	HSK1
467	拉	10062	HSK2
468	报	10030	HSK2
469	运	10020	HSK2
470	份	9955	HSK2
471	随	9942	HSK2
472	终	9892	HSK3
473	派	9873	HSK3
474	轻	9860	HSK2
475	冷	9793	HSK1
476	鬼	9776	HSK5
477	哇	9754	HSK6
478	参	9749	HSK2
479	狗	9722	HSK2
480	猜	9686	HSK5
481	条	9623	HSK1
482	紧	9601	HSK3
483	校	9529	HSK1
484	糟	9445	HSK5
485	岁	9381	HSK1
486	顾	9346	HSK2
487	式	9322	HSK3
488	挺	9266	HSK2
489	替	9176	HSK4
490	师	9035	HSK1
491	期	8925	HSK1
492	差	8899	HSK1
493	厌	8841	HSK5
494	未	8797	HSK4
495	對	8749	
496	花	8692	HSK1
497	战	8677	HSK4
498	坏	8650	HSK1
499	休	8635	HSK1
500	慢	8620	HSK1
